gene_id	gene_name	condition	normalized_count	sem_normalized_count	raw_count	n_cells	n_samples	plot_expression
Gm7568	Gm7568	resting	0.0	0.0	0.0	608	3	1.0
Ube2w	Ube2w	resting	25.901374988215835	2.4862083968088164	109.0	608	3	26.901374988215835
Eloc	Eloc	resting	173.32748380083706	24.51216260352682	770.0	608	3	174.32748380083706
D030040B21Rik	D030040B21Rik	resting	0.0	0.0	0.0	608	3	1.0
Tmem70	Tmem70	resting	24.7132492385784	5.427741896934918	117.0	608	3	25.7132492385784
Ly96	Ly96	resting	8.583929613313796	0.7109461280783959	35.0	608	3	9.583929613313796
Gm28376	Gm28376	resting	0.0	0.0	0.0	608	3	1.0
Jph1	Jph1	resting	0.0	0.0	0.0	608	3	1.0
Gm28783	Gm28783	resting	0.0	0.0	0.0	608	3	1.0
Gdap1	Gdap1	resting	0.0	0.0	0.0	608	3	1.0
Gm28784	Gm28784	resting	0.0	0.0	0.0	608	3	1.0
Pi15	Pi15	resting	0.0	0.0	0.0	608	3	1.0
Gm28154	Gm28154	resting	0.0	0.0	0.0	608	3	1.0
Gm16070	Gm16070	resting	0.0	0.0	0.0	608	3	1.0
Crispld1	Crispld1	resting	0.0	0.0	0.0	608	3	1.0
Gm28153	Gm28153	resting	0.0	0.0	0.0	608	3	1.0
Gm28756	Gm28756	resting	0.0	0.0	0.0	608	3	1.0
Crisp4	Crisp4	resting	0.0	0.0	0.0	608	3	1.0
Defb18	Defb18	resting	0.0	0.0	0.0	608	3	1.0
Defb41	Defb41	resting	0.0	0.0	0.0	608	3	1.0
Gm15825	Gm15825	resting	0.0	0.0	0.0	608	3	1.0
Tfap2d	Tfap2d	resting	0.0	0.0	0.0	608	3	1.0
Tfap2b	Tfap2b	resting	0.0	0.0	0.0	608	3	1.0
Gm28340	Gm28340	resting	0.0	0.0	0.0	608	3	1.0
Pkhd1	Pkhd1	resting	0.0	0.0	0.0	608	3	1.0
4930486I03Rik	4930486I03Rik	resting	0.0	0.0	0.0	608	3	1.0
Gm28653	Gm28653	resting	0.0	0.0	0.0	608	3	1.0
Il17a	Il17a	resting	17.741819505811296	11.283342126791064	101.0	608	3	18.741819505811296
Il17f	Il17f	resting	1.1146070236371621	0.6730902629529404	6.0	608	3	2.114607023637162
Mcm3	Mcm3	resting	70.54970951839523	33.98122389060361	358.0	608	3	71.54970951839523
Gm28065	Gm28065	resting	0.0	0.0	0.0	608	3	1.0
6720483E21Rik	6720483E21Rik	resting	0.0	0.0	0.0	608	3	1.0
Paqr8	Paqr8	resting	1.6477987545404453	0.8613912861278294	9.0	608	3	2.647798754540445
Efhc1	Efhc1	resting	0.0	0.0	0.0	608	3	1.0
Tram2	Tram2	resting	4.25843547242767	1.071421575146259	19.0	608	3	5.25843547242767
Gm28287	Gm28287	resting	0.0	0.0	0.0	608	3	1.0
