	size_factor
DP_nr_d0_1	1.7136600431190905
DP_nr_d0_2	1.382778451172934
DP_nr_d0_3	1.9965602452688511
DP_ova_d2_1	1.4228334183188416
DP_ova_d2_2	0.9513883847636057
DP_ova_d2_3	1.2904683796795438
DP_ova_d2_4	1.0652936137324807
DN_nr_d0_1	1.4278164227633832
DN_nr_d0_2	1.8375845085578888
DN_nr_d0_3	1.4685267753760178
DN_ova_d2_1	1.1832254364329078
DN_ova_d2_2	1.0376934661930968
DN_ova_d2_3	0.9793356370135445
DN_ova_d2_4	1.0568459688174632
DP_ova_d8_1	0.2589615175313612
DP_ova_d8_2	0.6628304202207704
DP_ova_d8_3	0.18489900990537367
DN_ova_d8_1	0.5548208505202669
DN_ova_d8_2	1.4094683745421217
DN_ova_d8_3	1.1949295443189474
