gene_id	gene_name	population	time_condition	mean_normalized_count	sem_normalized_count	n_samples	plot_expression
ENSMUSG00000093697	Gm20686	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093697	Gm20686	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000100162	Gm20687	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000100162	Gm20687	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000100162	Gm20687	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000100162	Gm20687	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093458	Gm20688	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093458	Gm20688	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093458	Gm20688	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093458	Gm20688	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093384	Gm20689	CD103+Tom+ LP Trm	Baseline	2.791710821733409	0.8633564278510251	3	3.791710821733409
ENSMUSG00000093384	Gm20689	CD103+Tom+ LP Trm	Infected	1.523995941208648	0.3704463185594224	3	2.523995941208648
ENSMUSG00000093384	Gm20689	CD103-Tom- LP Trm	Baseline	5.264963328533405	3.6210203643845853	2	6.264963328533405
ENSMUSG00000093384	Gm20689	CD103-Tom- LP Trm	Infected	3.2325022059338053	1.1482341978947554	3	4.232502205933805
ENSMUSG00000093730	Gm20690	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093730	Gm20690	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093730	Gm20690	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000093730	Gm20690	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000103007	Gm20690	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000103007	Gm20690	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000103007	Gm20690	CD103-Tom- LP Trm	Baseline	0.0	0.0	2	1.0
ENSMUSG00000103007	Gm20690	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093505	Gm20691	CD103+Tom+ LP Trm	Baseline	0.0	0.0	3	1.0
ENSMUSG00000093505	Gm20691	CD103+Tom+ LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093505	Gm20691	CD103-Tom- LP Trm	Baseline	0.44429918464589957	0.4442991846458995	2	1.4442991846458995
ENSMUSG00000093505	Gm20691	CD103-Tom- LP Trm	Infected	0.0	0.0	3	1.0
ENSMUSG00000093739	Gm20692	CD103+Tom+ LP Trm	Baseline	51.96245131829139	30.240218770597927	3	52.96245131829139
