gene_id	gene_name	condition	normalized_count	sem_normalized_count	raw_count	n_cells	n_samples	plot_expression
Gm41669	Gm41669	rechallenged	0.0	0.0	0.0	700	3	1.0
AC103362.1	AC103362.1	rechallenged	0.0	0.0	0.0	700	3	1.0
Zfp521	Zfp521	rechallenged	0.4588505542452888	0.45885055424528887	2.0	700	3	1.4588505542452888
8430422H06Rik	8430422H06Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm29992	Gm29992	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50097	Gm50097	rechallenged	0.0	0.0	0.0	700	3	1.0
Ss18	Ss18	rechallenged	138.76947321875505	15.903563166292754	471.0	700	3	139.76947321875505
Psma8	Psma8	rechallenged	0.3961109606384556	0.3961109606384555	1.0	700	3	1.3961109606384556
Taf4b	Taf4b	rechallenged	28.62779161006971	2.8645466025028545	97.0	700	3	29.62779161006971
Kctd1	Kctd1	rechallenged	4.5813101095584825	0.2051703022570946	16.0	700	3	5.5813101095584825
4933424G05Rik	4933424G05Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm2629	Gm2629	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50035	Gm50035	rechallenged	0.0	0.0	0.0	700	3	1.0
E430002N23Rik	E430002N23Rik	rechallenged	1.411317245742204	0.13986047056831002	5.0	700	3	2.411317245742204
A830021F12Rik	A830021F12Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Aqp4	Aqp4	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50048	Gm50048	rechallenged	0.0	0.0	0.0	700	3	1.0
Chst9	Chst9	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50076	Gm50076	rechallenged	0.0	0.0	0.0	700	3	1.0
Cdh2	Cdh2	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm15485	Gm15485	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm15328	Gm15328	rechallenged	0.0	0.0	0.0	700	3	1.0
1700001G01Rik	1700001G01Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
4930545E07Rik	4930545E07Rik	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50084	Gm50084	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm31086	Gm31086	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsc3	Dsc3	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsc2	Dsc2	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsc1	Dsc1	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsg1c	Dsg1c	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsg1a	Dsg1a	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsg1b	Dsg1b	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsg4	Dsg4	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsg3	Dsg3	rechallenged	0.0	0.0	0.0	700	3	1.0
Dsg2	Dsg2	rechallenged	0.8549615148837444	0.43091993506629483	3.0	700	3	1.8549615148837444
Gm16090	Gm16090	rechallenged	0.0	0.0	0.0	700	3	1.0
Ttr	Ttr	rechallenged	0.0	0.0	0.0	700	3	1.0
B4galt6	B4galt6	rechallenged	0.5076031425518743	0.2572894260012995	2.0	700	3	1.5076031425518743
Trappc8	Trappc8	rechallenged	43.58269309667386	1.6801658725326951	154.0	700	3	44.58269309667386
Rnf125	Rnf125	rechallenged	133.21163196266966	18.840372594679252	485.0	700	3	134.21163196266966
Rnf138	Rnf138	rechallenged	233.87370950687992	34.2950128528978	853.0	700	3	234.87370950687992
Mep1b	Mep1b	rechallenged	0.0	0.0	0.0	700	3	1.0
Garem1	Garem1	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm50049	Gm50049	rechallenged	0.0	0.0	0.0	700	3	1.0
Klhl14	Klhl14	rechallenged	0.3961109606384556	0.3961109606384555	1.0	700	3	1.3961109606384556
4930426D05Rik	4930426D05Rik	rechallenged	0.8549615148837444	0.43091993506629483	3.0	700	3	1.8549615148837444
Ccdc178	Ccdc178	rechallenged	0.0	0.0	0.0	700	3	1.0
Asxl3	Asxl3	rechallenged	0.0	0.0	0.0	700	3	1.0
Nol4	Nol4	rechallenged	0.0	0.0	0.0	700	3	1.0
Dtna	Dtna	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm47898	Gm47898	rechallenged	0.0	0.0	0.0	700	3	1.0
Gm15972	Gm15972	rechallenged	0.2294252771226444	0.22942527712264443	1.0	700	3	1.2294252771226444
Mapre2	Mapre2	rechallenged	51.161623992835594	7.916790230396626	187.0	700	3	52.161623992835594
Zfp397	Zfp397	rechallenged	49.15713557596536	18.830574035943737	154.0	700	3	50.15713557596536
Zfp35	Zfp35	rechallenged	13.382584951043333	0.8412113514982015	46.0	700	3	14.382584951043333
Zfp24	Zfp24	rechallenged	32.184893504701336	7.1507904810101754	106.0	700	3	33.184893504701336
Ino80c	Ino80c	rechallenged	32.48827066267119	3.7761777519550086	117.0	700	3	33.48827066267119
