gene_id	gene_name	condition	normalized_count	raw_count	n_cells	plot_expression
ENSMUSG00000004768	Rab23	IEL_memory	179.74253019480852	219.0	5023	180.74253019480852
ENSMUSG00000042215	Bag2	IEL_memory	141.98839143242867	173.0	5023	142.98839143242867
ENSMUSG00000042197	Zfp451	IEL_memory	1318.9326302422708	1607.0	5023	1319.9326302422708
ENSMUSG00000042182	Bend6	IEL_memory	29.546717292297295	36.0	5023	30.546717292297295
ENSMUSG00000026131	Dst	IEL_memory	9.848905764099097	12.0	5023	10.848905764099097
ENSMUSG00000102336	Gm37233	IEL_memory	81.25347255381756	99.0	5023	82.25347255381756
ENSMUSG00000042111	Ccdc115	IEL_memory	923.3349153842904	1125.0	5023	924.3349153842904
ENSMUSG00000026127	Imp4	IEL_memory	1233.575446953412	1503.0	5023	1234.575446953412
ENSMUSG00000026126	Ptpn18	IEL_memory	18031.704969771432	21970.0	5023	18032.704969771432
ENSMUSG00000100280	Gm28417	IEL_memory	151.83729719652777	185.0	5023	152.83729719652777
ENSMUSG00000101223	4930568A12Rik	IEL_memory	7.386679323074324	9.0	5023	8.386679323074324
ENSMUSG00000026125	Prss39	IEL_memory	1.6414842940165164	2.0	5023	2.641484294016516
ENSMUSG00000037509	Arhgef4	IEL_memory	148.55432860849473	181.0	5023	149.55432860849473
ENSMUSG00000104002	Gm38336	IEL_memory	13.952616499140388	17.0	5023	14.952616499140388
ENSMUSG00000037503	Fam168b	IEL_memory	2248.8334828026273	2740.0	5023	2249.8334828026273
ENSMUSG00000026123	Plekhb2	IEL_memory	1030.0313944953639	1255.0	5023	1031.0313944953639
ENSMUSG00000045216	Hs6st1	IEL_memory	206.00627889907278	251.0	5023	207.00627889907278
ENSMUSG00000102202	Gm33280	IEL_memory	7.386679323074324	9.0	5023	8.386679323074324
ENSMUSG00000037470	Uggt1	IEL_memory	1336.1682153294444	1628.0	5023	1337.1682153294444
ENSMUSG00000047180	Neurl3	IEL_memory	13985.446185020719	17040.0	5023	13986.446185020719
ENSMUSG00000037447	Arid5a	IEL_memory	2952.2095027887044	3597.0	5023	2953.2095027887044
ENSMUSG00000102762	4930403P22Rik	IEL_memory	39.39562305639639	48.0	5023	40.39562305639639
ENSMUSG00000010453	Kansl3	IEL_memory	1143.2938107825037	1393.0	5023	1144.2938107825037
ENSMUSG00000001143	Lman2l	IEL_memory	786.2709768339113	958.0	5023	787.2709768339113
ENSMUSG00000037408	Cnnm4	IEL_memory	115.7246427281644	141.0	5023	116.7246427281644
